"ean";"parent_id"
"3607020810458";"5341012"
"9009611972868";"541470099"
"8059132529783";"575223100"
"3143165990919";"551052246"
"8053621929900";"5313133"
"8000002339735";"554029938"
"8033714125808";"5243009"
"8053900583557";"51239"
"3611588391854";"546357447"
"550035324";"557756688"
"8059132595108";"574548861"
"7640170797244";"568609423"
"2534700103085";"5315615"
"3143166230595";"561581781"
"8059714730156";"5377053"
"2703927085034";"552075221"
"5400516933956";"550766497"
"2015100040548";"53109037"
"3613330589793";"51714"
"8075483547";"552448002"
"8059714732488";"5377021"
"9940187109028";"5312925"
"8059132536422";"576741793"
"5055901303250";"51443"
"8434030815785";"549440528"
"8052043011620";"5310238"
"3143166350804";"561635809"
"8054654047128";"566467344"
"5052506477614";"576576965"
"8032871294174";"543633776"
"9940125108935";"536708"
"64881052283";"536405"
"2500000169847";"538603"
"5400516010237";"547346477"
"3608270921994";"569286717"
"7613214821366";"563059965"
"8075491019";"556835046"
"8056305608528";"551125710"
"3608270925817";"563785493"
"8434030671183";"571857384"
"3601455970473";"542872840"
"3114439169584";"573892694"
"8032871848292";"570063674"
"8434341560374";"559115191"
"5055667321406";"537404"
"9940234108989";"5317610"
"8718915029383";"52205"
"8717457431708";"52773"
"8718334650427";"5344084"
"5712734215258";"557291665"
"07890222";"562392846"
"9940068109802";"521301"
"5055973714237";"562462454"
"889642185524";"552778466"
"3611589077856";"53650200"
"3614710414025";"53650103"
"3607020950734";"557267201"
"9009611972028";"543621711"
"4043874275484";"561941026"
"08002907";"565686521"
"8057005288737";"568545396"
"840821130049";"536808"
"9920064492386";"47542"
"8051514448125";"5316115"
"4260422062987";"556175932"
"8032871484704";"552651194"
"1704043013063";"560132451"
"8051514402103";"5316126"
"5400562031842";"569043917"
"8059132499994";"572003378"
"3613330802908";"52518"
"9940170108977";"5311209"
"8054525629453";"543293340"
"022906902733";"5316008"
"9940190108965";"5313212"
"5054411972352";"565789572"
"1704403073058";"563750982"
"9920064903240";"51762"
"9940098109235";"534058"
"3143166068303";"559178112"
"407636210001";"523771"
"9920064845380";"51445"
"2222231252418";"5312012"
"8059132499567";"573473632"
"000I24PM";"5310012"
"3143166243038";"540261371"
"540001950";"545866185"
"8030035307869";"543541873"
"8718334867221";"553747841"
"8054958287350";"556249058"
"3143166114543";"573399275"
"8059132519272";"578051675"
"3143165070215";"533621"
"8057004545503";"568255087"
"4056588145172";"569852573"
"8434538403590";"578749658"
"4004758755317";"562291766"
"5055901314348";"5352071"
"8054525635935";"545968915"
"3143166008910";"555882176"
"8434030655732";"5334090"
"3611589647127";"53650187"
"8434030809524";"544458550"
"8078060566";"563867986"
"3246577365389";"550018030"
"3605794109594";"558951982"
"9940233109074";"5317534"
"3608275429853";"5310528"
"9940234109021";"5317613"
"8059132238418";"555519884"
"022905300146";"5316004"
"1710003034237";"553328425"
"8072776489";"546604534"
"67881114397";"565591318"
"7613273940794";"549916070"
"3663720082724";"566906900"
"5052505126032";"540848389"
"9920064632164";"49269"
"3608270870100";"556453202"
"8050198767102";"5317402"
"5045494605237";"543870884"
"5052504687855";"538643"
"8052043046547";"5310219"
"4055592137074";"537117"
